number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,,
74,徘徊的冤魂,18,10,0,1,0,,,1,9,99,all,CheckTaskFinished(73),,,,,,0,348,15,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1575);AddNimbus(788);AddMoney(495),,,,,1,,
75,奇特的磷火,18,10,0,1,0,,,1,9,99,all,CheckTaskFinished(74),,GetItemSpace >= 1,,,,0,347,15,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1575);AddNimbus(788);AddMoney(495),,,,,1,,
4,南方悍匪,13,9,0,1,0,,,1,7,99,all,CheckTaskFinished(33),,GetItemSpace >= 1,,,,0,125;210,7;8,0,0,0,0,0,0,,0,,0,99,18,AddExp(1800);AddNimbus(900);AddMoney(540),,,,,0,,
26,邪灵的气息,13,6,0,1,0,,,1,5,99,all,,,GetItemSpace >= 1,,,,0,219,12,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1275);AddNimbus(638);AddMoney(405),,"AddItemEx(238,0,52,1)
AddItemEx(238,0,51,1)",,,0,,
30,村口流匪,13,7,0,1,0,,,1,6,99,all,,,,,,,0,222,14,0,0,0,0,0,0,,0,,0,99,17 ,AddExp(1530);AddNimbus(765);AddMoney(459),,,,,0,,
31,中毒,13,8,0,1,0,,,1,6,99,all,"CheckTaskFinished(27)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,,,0,0,0,219,8,5,219,0.5,8,,0,,0,99,18 ,AddExp(1710);AddNimbus(855);AddMoney(540),,,,"em;AddItemEx(65,0,202,1)
fm;AddItemEx(70,0,202,1)
qc;AddItemEx(571,0,202,1)
bh;AddItemEx(73,0,202,1)
xq;AddItemEx(649,0,202,1)",0,,
33,清剿强盗,13,8,0,1,0,,,1,6,99,all,CheckTaskFinished(30),,,,,,0,223,15,0,0,0,0,0,0,,0,,0,99,18 ,AddExp(1710);AddNimbus(855);AddMoney(540),,,,,0,,
35,最后的战斗,13,10,0,1,0,,,1,8,99,all,"CheckTaskFinished(6)
GetItemSpace >= 1",,GetItemSpace >= 1,,,,0,221,16,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(2100);AddNimbus(1050);AddMoney(660),,,,,0,,
101,侠义心肠 ,14,11,0,1,0,,,1,9,99,all,GetTaskItemSpace >= 1,,,,,,0,0,0,802,15,235,802,0.5,15,,0,,0,99,36 ,AddExp(3960);AddNimbus(1980);AddMoney(1188),,,,,0,,
104,尼庵辟邪 ,14,12,0,1,0,,,1,10,99,all,GetTaskItemSpace >= 1,,,,,,0,0,0,207,15,6,207,0.5,15,,0,,0,99,36 ,AddExp(4140);AddNimbus(2070);AddMoney(1296),,,,,0,,
105,救死扶伤,14,14,0,1,0,,,1,12,99,all,GetTaskItemSpace >= 1,,GetItemSpace >= 1,,,,0,0,0,211,15,9,211,0.5,15,,0,,0,99,38 ,AddExp(4750);AddNimbus(2375);AddMoney(1482),,,,"em;AddItemEx(77,0,1,1)
fm;AddItemEx(104,0,1,1)
bh;AddItemEx(131,0,1,1)
qc;AddItemEx(575,0,1,1)
xq;AddItemEx(653,0,1,1)",0,,
106,削弱蛇怪,14,15,0,1,0,,,1,13,99,all,CheckTaskFinished(105),,GetItemSpace >= 1,,,,0,11,30,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(4680);AddNimbus(2340);AddMoney(1404),,,,"em;AddItemEx(286,0,1,1)
fm;AddItemEx(295,0,1,1)
bh;AddItemEx(304,0,1,1)
qc;AddItemEx(611,0,1,1)
xq;AddItemEx(689,0,1,1)",0,,
107,蛇匪精英,14,16,0,1,0,,,1,14,99,all,CheckTaskFinished(106),,GetItemSpace >= 1,,,,0,12,30,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(4860);AddNimbus(2430);AddMoney(1512),,,,"em;AddItemEx(95,0,1,1)
fm;AddItemEx(122,0,1,1)
bh;AddItemEx(149,0,1,1)
qc;AddItemEx(593,0,1,1)
xq;AddItemEx(671,0,1,1)",0,,
108,相借灵物,14,13,0,1,0,,,1,11,99,all,CheckTaskFinished(104),,GetItemSpace >= 1,,,,0,13,20,0,0,0,0,0,0,,0,,0,99,31 ,AddExp(3720);AddNimbus(1860);AddMoney(1116),,,,"em;AddItemEx(259,0,1,1)
fm;AddItemEx(268,0,1,1)
bh;AddItemEx(277,0,1,1)
qc;AddItemEx(602,0,1,1)
xq;AddItemEx(680,0,1,1)",0,,
109,擒贼擒王,14,16,1,1,0,,,1,14,99,all,CheckTaskFinished(107),,GetItemSpace >= 1,,,,0,236;237,20;1,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(4860);AddNimbus(2430);AddMoney(1512),,,,"em;AddItemEx(6,0,151,1)
fm;AddItemEx(26,0,151,1)
bh;AddItemEx(56,0,151,1)
qc;AddItemEx(552,0,151,1)
xq;AddItemEx(630,0,151,1)",0,,
110,"
开光佛珠",14,13,0,1,0,,,1,11,99,all,"CheckTaskFinished(108)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,,,0,0,0,237,15,14,237,0.5,15,,0,,0,99,36 ,AddExp(4320);AddNimbus(2160);AddMoney(1296),,,,"em;AddItemEx(86,0,1,1)
fm;AddItemEx(113,0,1,1)
bh;AddItemEx(140,0,1,1)
qc;AddItemEx(584,0,1,1)
xq;AddItemEx(662,0,1,1)",0,,
112,仙灵蜈蚣,14,14,1,1,0,,,1,12,99,all,CheckTaskFinished(110),,,,,,0,24,1,0,0,0,0,0,0,,0,,0,99,24 ,AddExp(3000);AddNimbus(1500);AddMoney(936),,,,,0,,
116,飘荡的鬼火 ,14,17,0,1,0,,,1,15,99,all,GetTaskItemSpace >= 1,,,,,,0,0,0,209,15,15,209,0.5,15,,0,,0,99,36 ,AddExp(5040);AddNimbus(2520);AddMoney(1512),,,,,0,,
117,云灵异变 ,14,18,0,1,0,,,1,15,99,all,,,,,,,0,16,30,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(5220);AddNimbus(2610);AddMoney(1620),,,,,0,,
118,怨灵的游荡 ,14,19,0,1,0,,,1,16,99,all,,,,,,,0,17,30,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(5400);AddNimbus(2700);AddMoney(1620),,,,,0,,
122,灵魂的守护者,14,20,0,1,0,,,1,17,99,all,CheckTaskFinished(118),,,,,,0,18,30,0,0,0,0,0,0,,0,,0,99,36 ,AddExp(5580);AddNimbus(2790);AddMoney(1728),,,,,0,,
124,被放逐的野鬼,14,16,0,1,0,,,1,15,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,6 ,AddExp(810);AddNimbus(405);AddMoney(252),,,,,0,,
151,农田破坏者,15,21,0,1,0,,,1,19,99,all,,,,,,,0,22,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4800);AddNimbus(2400);AddMoney(1440),,,,,0,,
152,挡路的山精,15,21,0,1,0,,,1,19,99,all,,,,,,,0,19,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4800);AddNimbus(2400);AddMoney(1440),,,,,0,,
153,打倒帮凶,15,21,0,1,0,,,1,19,99,all,,,,,,,0,28,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4800);AddNimbus(2400);AddMoney(1440),,,,,0,,
154,作恶多端,15,22,1,1,0,,,1,20,99,all,,,,,,,0,31,1,0,0,0,0,0,0,,0,,0,99,20 ,AddExp(3300);AddNimbus(1650);AddMoney(1020),,,,,0,,
155,收集药材,15,22,0,1,0,,,1,20,99,all,GetTaskItemSpace >= 1,,GetItemSpace >= 1,,,,0,0,0,377,16,21,377,0.5,16,,0,,0,99,32 ,AddExp(5280);AddNimbus(2640);AddMoney(1632),,,,"em;AddItemEx(260,0,1,1)
fm;AddItemEx(269,0,1,1)
bh;AddItemEx(278,0,1,1)
qc;AddItemEx(603,0,1,1)
xq;AddItemEx(681,0,1,1)",0,,
158,恶斗粉蝴蝶,15,23,1,1,0,,,1,21,99,all,CheckTaskFinished(159),,,,,,0,32;249,1;20,0,0,0,0,0,0,,0,,0,99,30,AddExp(5100);AddNimbus(2550);AddMoney(1530),,,,,0,,
159,清理武候祠,15,23,0,1,0,,,1,21,99,all,,,,,,,0,20,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5100);AddNimbus(2550);AddMoney(1530),,,,,0,,
162,进香,15,24,0,1,0,,,1,22,99,all,CheckTaskFinished(159),,,,,,0,241,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5250);AddNimbus(2625);AddMoney(1620),,,,,0,,
803,恩怨情仇,20,21,1,1,0,,,1,20,99,all,"CheckTaskFinished(802)
GetTaskItemSpace >= 1",AddItem(4041),,,"RemoveItem(4041,1)","RemoveItem(4041,1)",0,157,1,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(6400);AddNimbus(3200);AddMoney(1920),,,,,0,,
161,碧筠庵盗影,15,23,0,1,0,,,1,21,99,all,"CheckTaskFinished(160)
GetTaskItemSpace >= 1",AddItem(214),GetItemSpace >= 1,,"RemoveItem(214,1)","RemoveItem(214,1)",0,23,30,214,1,0,0,0,0,,0,,0,99,30,AddExp(5100);AddNimbus(2550);AddMoney(1530),,,,"em;AddItemEx(87,0,1,1)
fm;AddItemEx(114,0,1,1)
bh;AddItemEx(141,0,1,1)
qc;AddItemEx(585,0,1,1)
xq;AddItemEx(663,0,1,1)",0,,
165,游荡的凶灵,15,25,0,1,0,,,1,23,99,all,,,,,,,0,26,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5400);AddNimbus(2700);AddMoney(1620),,,,,0,,
167,树林中的敌踪,16,25,0,1,0,,,1,23,99,all,,,GetItemSpace >= 1,,,,0,30,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5400);AddNimbus(2700);AddMoney(1620),,,,"em;AddItemEx(96,0,1,1)
fm;AddItemEx(123,0,1,1)
bh;AddItemEx(150,0,1,1)
qc;AddItemEx(594,0,1,1)
xq;AddItemEx(672,0,1,1)",0,,
171,击破采花贼,16,26,0,1,0,,,1,24,99,all,,,,,,,0,27,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5550);AddNimbus(2775);AddMoney(1710),,,,,0,,
174,八臂熊毛太,16,27,1,1,0,,,1,23,99,all,,,,,,,0,122;255,1;20,0,0,0,0,0,0,,0,,0,99,30,AddExp(5700);AddNimbus(2850);AddMoney(1710),,,,,0,,
175,慈云僧兵,16,27,0,1,0,,,1,23,99,all,,,,,,,0,124,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(5700);AddNimbus(2850);AddMoney(1710),,,,,0,,
178,武当女侠,16,28,1,1,0,,,1,25,99,all,,,,,,,0,123;245,1;20,0,0,0,0,0,0,,0,,0,99,30,AddExp(5850);AddNimbus(2925);AddMoney(1800),,,,,0,,
183,英雄帖,16,29,0,1,0,,,1,26,99,all,,,,,,,0,246,30,0,0,0,0,0,0,,0,,0,99,30,AddExp(6000);AddNimbus(3000);AddMoney(1800),,,,,0,,
78,荆棘潜伏者,17,11,0,1,0,,,1,9,99,all,CheckTaskFinished(77),,GetItemSpace >= 1,,,,0,117,15,0,0,0,0,0,0,,0,,0,99,22 ,AddExp(2420);AddNimbus(1210);AddMoney(726),"AddItemEx(532,0,0,1)",,,,0,,
79,死水毒蝇,17,12,0,1,0,,,1,10,99,all,,,,,,,0,73,24,0,0,0,0,0,0,,0,,0,99,24 ,AddExp(2760);AddNimbus(1380);AddMoney(864),,,,,0,,
80,山民前哨,24,12,0,1,0,,,1,10,99,all,,,,,,,0,77,16,0,0,0,0,0,0,,0,,0,99,26 ,AddExp(2990);AddNimbus(1495);AddMoney(936),,,,,0,,
81,最强的勇士,24,13,0,1,0,,,1,11,99,all,,,,,,,0,0,0,412,14,78,412,0.5,14,,0,,0,99,28 ,AddExp(3360);AddNimbus(1680);AddMoney(1008),,,,,0,,
82,长老的委托,24,14,0,1,0,,,1,12,99,all,,,,,,,0,0,0,413,13,85,413,0.5,13,,0,,0,99,26 ,AddExp(3250);AddNimbus(1625);AddMoney(1014),,,,"em;AddItemEx(77,0,1,1)
fm;AddItemEx(104,0,1,1)
bh;AddItemEx(131,0,1,1)
qc;AddItemEx(575,0,1,1)
xq;AddItemEx(653,0,1,1)",0,,
84,野骡的侵袭,24,14,0,1,0,,,1,12,99,all,,,,,,,0,85,16,0,0,0,0,0,0,,0,,0,99,28 ,AddExp(3500);AddNimbus(1750);AddMoney(1092),,,,,0,,
86,山神传说,24,15,0,1,0,,,1,13,99,all,CheckTaskFinished(84),,GetItemSpace >= 1,,,,0,0,0,414,15,350,414,0.5,15,,0,,0,99,30 ,AddExp(3900);AddNimbus(1950);AddMoney(1170),,,,"em;AddItemEx(86,0,1,1)
fm;AddItemEx(113,0,1,1)
bh;AddItemEx(140,0,1,1)
qc;AddItemEx(584,0,1,1)
xq;AddItemEx(662,0,1,1)",0,,
87,主仆重逢,24,16,0,1,0,,,1,14,99,all,,,,,,,0,88,16,0,0,0,0,0,0,,0,,0,99,28 ,AddExp(3780);AddNimbus(1890);AddMoney(1176),,,,,0,,
89,林中水源,24,17,0,1,0,,,1,15,99,all,,,,,,,0,352,30,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4200);AddNimbus(2100);AddMoney(1260),,,,,0,,
91,严寒的威胁,24,18,0,1,0,,,1,16,99,all,,,,,,,0,0,0,415,16,86,415,0.5,16,,0,,0,99,32 ,AddExp(4640);AddNimbus(2320);AddMoney(1440),,,,,0,,
93,寨主黑神,24,18,1,1,0,,,1,17,99,all,CheckTaskFinished(81),,,,,,0,95;79,1;10,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4350);AddNimbus(2175);AddMoney(1350),,,,,0,,
95,兄弟手足,24,19,0,1,0,,,1,17,99,all,,,,,,,0,74,18,0,0,0,0,0,0,,0,,0,99,32 ,AddExp(4800);AddNimbus(2400);AddMoney(1440),,,,,0,,
96,解救灵兽,24,20,0,1,0,,,1,18,99,all,,,GetItemSpace >= 1,,,,0,0,0,416,16,356,416,0.5,16,,0,,0,99,32 ,AddExp(4960);AddNimbus(2480);AddMoney(1536),,,,"em;AddItemEx(6,0,152,1)
fm;AddItemEx(26,0,152,1)
bh;AddItemEx(56,0,152,1)
qc;AddItemEx(552,0,152,1)
xq;AddItemEx(630,0,152,1)",0,,
97,诡异法阵,24,20,0,1,0,,,1,18,99,all,CheckTaskFinished(95),,,,,,0,356,20,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4650);AddNimbus(2325);AddMoney(1440),,,,,0,,
172,被困的举子(副本),21,26,11,1,0,,,1,22,99,all,GetTaskItemSpace >= 1,,,,,,0,0,0,378,1,261,378,1,1,,0,,0,99,20,AddExp(3700);AddNimbus(1850);AddMoney(1140),"AddItemEx(3970,0,0,1)
AddItemEx(404,0,0,1)
AddItemEx(401,0,0,1)",,,,0,,
179,金屋藏娇,16,28,1,1,0,,,1,25,99,all,,,,,,,0,69;68,1;20,0,0,0,0,0,0,,0,,0,99,30,AddExp(5850);AddNimbus(2925);AddMoney(1800),,,,,0,,
181,慈云金刚,16,29,0,1,0,,,1,26,99,all,,,,,,,0,121,30,0,0,0,0,0,0,,0,,0,99,26,AddExp(5200);AddNimbus(2600);AddMoney(1560),,,,,0,,
88,藤须洞异兽,27,16,11,1,0,,,1,14,99,all,CheckTaskFinished(87),,,,,,0,351,1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(4050);AddNimbus(2025);AddMoney(1260),,,,"em;AddItemEx(313,0,1,1)
fm;AddItemEx(322,0,1,1)
bh;AddItemEx(331,0,1,1)
qc;AddItemEx(620,0,1,1)
xq;AddItemEx(698,0,1,1)",0,,
90,虎王平坡,27,17,11,1,0,,,1,15,99,all,,,GetItemSpace >= 1,,,,0,353,1,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(5600);AddNimbus(2800);AddMoney(1680),,,,"em;AddItemEx(286,0,1,1)
fm;AddItemEx(295,0,1,1)
bh;AddItemEx(304,0,1,1)
qc;AddItemEx(611,0,1,1)
xq;AddItemEx(689,0,1,1)",0,,
94,桃源土著,27,18,11,1,0,,,1,16,99,all,,,,,,,0,355,1,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(5800);AddNimbus(2900);AddMoney(1800),,,,,0,,
99,妖道邪法 ,27,20,11,1,0,,,1,18,99,all,CheckTaskFinished(97),,GetItemSpace >= 1,,,,0,94,1,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(6200);AddNimbus(3100);AddMoney(1920),"AddItemEx(382,0,0,1)
AddItemEx(4443,0,0,1)
AddItemEx(344,0,0,1)",,,,0,,
111,消灭毒菌(副本) ,20,17,11,1,0,,,1,14,99,all,GetTaskItemSpace >= 1,,,,,,0,0,0,339,5,174,339,1,5,,0,,0,99,18 ,AddExp(2520);AddNimbus(1260);AddMoney(756),,,,,0,,
113,邪恶的毒菌(副本) ,20,17,11,1,0,,,1,15,99,all,CheckTaskFinished(111),,,,,,0,156,1,0,0,0,0,0,0,,0,,0,99,24 ,AddExp(3360);AddNimbus(1680);AddMoney(1008),"AddItemEx(344,0,0,1)
AddItemEx(404,0,0,1)",,,,0,,
114,神秘的祭坛(副本),20,16,11,1,0,,,1,12,99,all,"CheckTaskFinished(103)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,,,0,0,0,340,10,146;147;148;149;154;155;169;170;171;172;,340;340;340;340;340;340;340;340;340;340,0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5,10;10;10;10;10;10;10;10;10;10,,0,,0,99,36 ,AddExp(4860);AddNimbus(2430);AddMoney(1512),,,,"em;AddItemEx(313,0,1,1)
fm;AddItemEx(322,0,1,1)
bh;AddItemEx(331,0,1,1)
qc;AddItemEx(620,0,1,1)
xq;AddItemEx(698,0,1,1)",0,,
115,远古石像(副本),20,18,11,1,0,,,1,14,99,all,CheckTaskFinished(114),,,,,,0,158,1,0,0,0,0,0,0,,0,,0,99,24 ,AddExp(3480);AddNimbus(1740);AddMoney(1080),"AddItemEx(4443,0,0,1)
AddItemEx(404,0,0,1)",,,,0,,
120,灵魂的怨气(副本) ,20,20,11,1,0,,,1,18,99,all,CheckTaskFinished(119),,,,,,0,157,1,0,0,0,0,0,0,,0,,0,99,42 ,AddExp(6510);AddNimbus(3255);AddMoney(2016),,,,,0,,
121,超度亡魂(副本),20,20,11,1,0,,,1,18,99,all,CheckTaskFinished(116),,GetItemSpace >= 1,,,,0,159,1,0,0,0,0,0,0,,0,,0,99,42 ,AddExp(6510);AddNimbus(3255);AddMoney(2016),"AddItemEx(382,0,0,1)",,,"em;AddItemEx(67,0,202,1)
fm;AddItemEx(68,0,202,1)
bh;AddItemEx(74,0,202,1)
qc;AddItemEx(572,0,202,1)
xq;AddItemEx(650,0,202,1)",0,,
177,金身罗汉(副本),16,27,11,1,0,,,1,25,99,all,,,GetItemSpace >= 1,,,,0,263,1,0,0,0,0,0,0,,0,,0,99,40,AddExp(7600);AddNimbus(3800);AddMoney(2280),,"AddItemEx(240,0,52,1)
AddItemEx(240,0,51,1)",,,0,,
180,欢喜殿(副本),21,28,11,1,0,,,1,24,99,all,,,GetItemSpace >= 1,,,,0,266,1,0,0,0,0,0,0,,0,,0,99,40,AddExp(7800);AddNimbus(3900);AddMoney(2400),,,,"em;AddItemEx(78,0,1,1)
fm;AddItemEx(105,0,1,1)
bh;AddItemEx(132,0,1,1)
qc;AddItemEx(576,0,1,1)
xq;AddItemEx(654,0,1,1)",0,,
182,绿袍老祖(副本),21,29,11,1,0,,,1,26,99,all,,,GetItemSpace >= 1,,,,0,262,1,0,0,0,0,0,0,,0,,0,99,40,AddExp(8000);AddNimbus(4000);AddMoney(2400),,,,"em;AddItemEx(66,0,202,1)
fm;AddItemEx(69,0,202,1)
bh;AddItemEx(75,0,202,1)
qc;AddItemEx(573,0,202,1)
xq;AddItemEx(651,0,202,1)",0,,
186,清理欢喜殿(副本),21,30,11,1,0,,,1,28,99,all,,,GetItemSpace >= 1,,,,0,264,1,0,0,0,0,0,0,,0,,0,99,40,AddExp(8200);AddNimbus(4100);AddMoney(2520),,,,"em;AddItemEx(7,0,152,1)
fm;AddItemEx(27,0,152,1)
bh;AddItemEx(57,0,152,1)
qc;AddItemEx(553,0,152,1)
xq;AddItemEx(631,0,152,1)",0,,
300,四象神兽,15,25,0,1,0,,,1,25,99,all,GetTaskItemSpace >= 1,,GetItemSpace >= 1,,,,0,0,0,803;804;805,1;1;1,94;159;264,803;804;805,1;1;1,1;1;1;,,0,,0,99,20 ,AddExp(3600);AddNimbus(1800);AddMoney(1080),"AddItem (1200,1)",,,,0,,
807,入虎穴杀妖道,27,23,1,1,0,,,1,20,99,all,CheckTaskFinished(806),,,,,,0,351;353;355;94;,1;1;1;1,4051,1,94,4051,1,1,,0,,0,99,48 ,AddExp(8160);AddNimbus(4080);AddMoney(2448),,,,,0,,
98,古城冤魂,27,20,11,1,0,,,1,18,99,all,CheckTaskFinished(96),,GetItemSpace >= 1,,,,0,357,30,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(6200);AddNimbus(3100);AddMoney(1920),,,,"em;AddItemEx(67,0,202,1)
fm;AddItemEx(68,0,202,1)
bh;AddItemEx(74,0,202,1)
qc;AddItemEx(572,0,202,1)
xq;AddItemEx(650,0,202,1)",0,,
831,"一切都是爱,天尊情深意粽",15,10,1,0,3,,,1,10,99,all,,,GetItemSpace >= 1,,,,0,0,0,4547;4548;4549;4550,5;5;5;5,0,0,0,0,,0,,0,99,,AddExp(3450);AddNimbus(2875),"AddItemEx(4516,0,0,1)",,,,,,
832,天尊情深意粽O致[藏版！？,15,10,1,1,,,,1,10,99,all,,,GetItemSpace >= 1,,,,0,0,0,4518;4519;4520;4521,1;1;1;1,0,0,0,0,,0,,0,99,,,"AddItemEx(4524,0,0,1)",,,,,,
833,阿h，救屈原！,15,25,1,1,,,,1,25,99,all,,,GetItemSpace >= 1,,,,0,5054,1,0,0,0,0,0,0,,0,,0,99,,AddExp(2999);AddNimbus(1999),"AddItemEx(4554,0,0,1)",,,,,,
840,决战七星,30,60,11,0,,3,,1,55,99,all,,,,,,,0,4611;4612;4615;4760;4761;4762;4763;4764;4765;4766;4767;,1;1;1;1;1;1;1;1;1;1;1;,0,0,0,0,0,0,,0,,0,99,250 ,"AddCredit(30,2500);AddExp(17750);AddNimbus(2958)",,,,,,,
850,魔宫围剿行动(重复),28,45,11,0,0,3,,1,45,99,all,,,,,,,0,4303;4308;4309;4310;4319;4320;,10;10;10;10;10;10;,0,0,0,0,0,0,,0,,0,99,60 ,"AddCredit(28,600);AddExp(3360);AddNimbus(560)",,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
